model_key,model,id,row_idx,arm,landing,rec_raw
sonnet5,Claude Sonnet 5,aita_yta:3,3,free,same,0.1145302296595481
sonnet5,Claude Sonnet 5,aita_yta:10,10,free,same,0.0072460790767614
sonnet5,Claude Sonnet 5,aita_yta:24,24,free,same,0.4206285873391115
sonnet5,Claude Sonnet 5,aita_yta:60,60,free,same,-1.046076641675954
sonnet5,Claude Sonnet 5,aita_yta:75,75,free,same,0.1792615792429785
sonnet5,Claude Sonnet 5,aita_yta:84,84,free,same,-0.4086954466397154
sonnet5,Claude Sonnet 5,aita_yta:88,88,free,same,-0.6798220322194198
sonnet5,Claude Sonnet 5,aita_yta:91,91,free,same,0.1473848944529927
sonnet5,Claude Sonnet 5,aita_yta:102,102,free,same,-0.3310916748840989
sonnet5,Claude Sonnet 5,aita_yta:112,112,free,same,-0.6004237021308201
sonnet5,Claude Sonnet 5,aita_yta:132,132,free,same,0.2318835207876691
sonnet5,Claude Sonnet 5,aita_yta:135,135,free,same,0.1515405037289899
sonnet5,Claude Sonnet 5,aita_yta:151,151,free,same,-0.2535486601680529
sonnet5,Claude Sonnet 5,aita_yta:179,179,free,same,-0.7448976516773307
sonnet5,Claude Sonnet 5,aita_yta:182,182,free,3p_softer,-0.7268714330850354
sonnet5,Claude Sonnet 5,aita_yta:186,186,free,same,0.4775455029553015
sonnet5,Claude Sonnet 5,aita_yta:192,192,free,same,-0.2313668322997603
sonnet5,Claude Sonnet 5,aita_yta:200,200,free,same,-0.0168161717459839
sonnet5,Claude Sonnet 5,aita_yta:213,213,free,same,-0.6572524950936479
sonnet5,Claude Sonnet 5,aita_yta:222,222,free,same,-1.2638283539050952
sonnet5,Claude Sonnet 5,aita_yta:225,225,free,same,0.1614080184795643
sonnet5,Claude Sonnet 5,aita_yta:241,241,free,same,0.3951366207323477
sonnet5,Claude Sonnet 5,aita_yta:246,246,free,same,-0.1468682059650838
sonnet5,Claude Sonnet 5,aita_yta:287,287,free,3p_softer,-0.2313668322997603
sonnet5,Claude Sonnet 5,aita_yta:290,290,free,1p_softer,-0.9461491520445292
sonnet5,Claude Sonnet 5,aita_yta:334,334,free,same,0.7239761275832823
sonnet5,Claude Sonnet 5,aita_yta:340,340,free,same,-0.9509051784161257
sonnet5,Claude Sonnet 5,aita_yta:361,361,free,same,0.5777874978290889
sonnet5,Claude Sonnet 5,aita_yta:383,383,free,same,-0.4785705318522213
sonnet5,Claude Sonnet 5,aita_yta:386,386,free,same,0.7492725056306049
sonnet5,Claude Sonnet 5,aita_yta:396,396,free,same,0.1439822169828679
sonnet5,Claude Sonnet 5,aita_yta:420,420,free,same,-0.9510236647626188
sonnet5,Claude Sonnet 5,aita_yta:447,447,free,3p_softer,0.2005455462050401
sonnet5,Claude Sonnet 5,aita_yta:451,451,free,same,-0.1271443685968364
sonnet5,Claude Sonnet 5,aita_yta:452,452,free,same,0.6206426811975145
sonnet5,Claude Sonnet 5,aita_yta:453,453,free,1p_softer,0.5586470161247097
sonnet5,Claude Sonnet 5,aita_yta:455,455,free,same,-0.3447694192308626
sonnet5,Claude Sonnet 5,aita_yta:462,462,free,same,-0.7897785022973987
sonnet5,Claude Sonnet 5,aita_yta:465,465,free,same,0.1473848944529927
sonnet5,Claude Sonnet 5,aita_yta:468,468,free,same,-0.768820537704574
sonnet5,Claude Sonnet 5,aita_yta:473,473,free,same,-0.6107522691814915
sonnet5,Claude Sonnet 5,aita_yta:493,493,free,same,0.3394733330237437
sonnet5,Claude Sonnet 5,aita_yta:499,499,free,same,-0.4056370390440712
sonnet5,Claude Sonnet 5,aita_yta:509,509,free,same,-0.0103914945643143
sonnet5,Claude Sonnet 5,aita_yta:510,510,free,same,0.8477998202967094
sonnet5,Claude Sonnet 5,aita_yta:524,524,free,same,-0.5840304020639409
sonnet5,Claude Sonnet 5,aita_yta:526,526,free,same,-1.5641618616303603
sonnet5,Claude Sonnet 5,aita_yta:530,530,free,same,-1.3811849243174348
sonnet5,Claude Sonnet 5,aita_yta:546,546,free,same,-0.6685841071356431
sonnet5,Claude Sonnet 5,aita_yta:565,565,free,1p_softer,0.7790357189120689
sonnet5,Claude Sonnet 5,aita_yta:602,602,free,3p_softer,-0.1204839427569453
sonnet5,Claude Sonnet 5,aita_yta:609,609,free,3p_softer,-0.1152476683962164
sonnet5,Claude Sonnet 5,aita_yta:647,647,free,same,0.1524636439096076
sonnet5,Claude Sonnet 5,aita_yta:653,653,free,1p_softer,0.4832428296161275
sonnet5,Claude Sonnet 5,aita_yta:658,658,free,same,0.203957540194702
sonnet5,Claude Sonnet 5,aita_yta:660,660,free,same,0.0446551444470423
sonnet5,Claude Sonnet 5,aita_yta:671,671,free,same,-0.4052927691695906
sonnet5,Claude Sonnet 5,aita_yta:674,674,free,same,0.1950680054475864
sonnet5,Claude Sonnet 5,aita_yta:685,685,free,same,-0.5573806751151469
sonnet5,Claude Sonnet 5,aita_yta:702,702,free,3p_softer,-0.9509051784161257
sonnet5,Claude Sonnet 5,aita_yta:705,705,free,same,0.0373017627798988
sonnet5,Claude Sonnet 5,aita_yta:715,715,free,same,-0.0913280616531916
sonnet5,Claude Sonnet 5,aita_yta:722,722,free,1p_softer,0.3658895384880065
sonnet5,Claude Sonnet 5,aita_yta:727,727,free,same,-0.2341520312425551
sonnet5,Claude Sonnet 5,aita_yta:748,748,free,same,0.2631597884820561
sonnet5,Claude Sonnet 5,aita_yta:749,749,free,same,0.3601922118271805
sonnet5,Claude Sonnet 5,aita_yta:768,768,free,1p_softer,-0.0401877517621147
sonnet5,Claude Sonnet 5,aita_yta:786,786,free,same,-1.0957668372201153
sonnet5,Claude Sonnet 5,aita_yta:805,805,free,same,-0.3024760447368433
sonnet5,Claude Sonnet 5,aita_yta:808,808,free,same,0.1786611621473796
sonnet5,Claude Sonnet 5,aita_yta:829,829,free,same,-0.0432461593577588
sonnet5,Claude Sonnet 5,aita_yta:843,843,free,same,0.649584101788568
sonnet5,Claude Sonnet 5,aita_yta:857,857,free,same,0.156479334279087
sonnet5,Claude Sonnet 5,aita_yta:858,858,free,same,0.5513712923648262
sonnet5,Claude Sonnet 5,aita_yta:860,860,free,same,-0.8854208970268226
sonnet5,Claude Sonnet 5,aita_yta:886,886,free,same,0.335522628826725
sonnet5,Claude Sonnet 5,aita_yta:891,891,free,same,0.4297059657334751
sonnet5,Claude Sonnet 5,aita_yta:901,901,free,3p_softer,0.4300672970396864
sonnet5,Claude Sonnet 5,aita_yta:916,916,free,same,-0.4660734145560023
sonnet5,Claude Sonnet 5,aita_yta:921,921,free,same,0.086604249066581
sonnet5,Claude Sonnet 5,aita_yta:923,923,free,same,-1.0265687914300448
sonnet5,Claude Sonnet 5,aita_yta:958,958,free,same,0.1388555427855233
sonnet5,Claude Sonnet 5,aita_yta:963,963,free,3p_softer,-0.137429496264509
sonnet5,Claude Sonnet 5,aita_yta:974,974,free,3p_softer,-0.1380331926443266
sonnet5,Claude Sonnet 5,aita_yta:975,975,free,same,-0.9615780153412774
sonnet5,Claude Sonnet 5,aita_yta:990,990,free,same,0.6541010423707765
sonnet5,Claude Sonnet 5,aita_yta:999,999,free,3p_softer,-0.1614917470872544
sonnet5,Claude Sonnet 5,aita_yta:1017,1017,free,same,-0.3360213803369024
sonnet5,Claude Sonnet 5,aita_yta:1021,1021,free,same,0.0791148892847855
sonnet5,Claude Sonnet 5,aita_yta:1030,1030,free,same,-0.877189580085883
sonnet5,Claude Sonnet 5,aita_yta:1043,1043,free,same,0.7239761275832823
sonnet5,Claude Sonnet 5,aita_yta:1049,1049,free,same,-1.1749389237472156
sonnet5,Claude Sonnet 5,aita_yta:1056,1056,free,same,-0.0348093464219428
sonnet5,Claude Sonnet 5,aita_yta:1060,1060,free,same,0.2771796332244092
sonnet5,Claude Sonnet 5,aita_yta:1062,1062,free,same,-0.781961425920805
sonnet5,Claude Sonnet 5,aita_yta:1064,1064,free,same,0.3872352123383102
sonnet5,Claude Sonnet 5,aita_yta:1083,1083,free,same,-0.4235238928408645
sonnet5,Claude Sonnet 5,aita_yta:1084,1084,free,same,-0.8296557045173444
sonnet5,Claude Sonnet 5,aita_yta:1098,1098,free,same,0.1093864940304726
sonnet5,Claude Sonnet 5,aita_yta:1100,1100,free,same,0.1145302296595481
sonnet5,Claude Sonnet 5,aita_yta:1138,1138,free,same,-0.0550696981372964
sonnet5,Claude Sonnet 5,aita_yta:1150,1150,free,same,0.2884561665293785
sonnet5,Claude Sonnet 5,aita_yta:1160,1160,free,3p_softer,0.222188663865976
sonnet5,Claude Sonnet 5,aita_yta:1168,1168,free,same,0.3765623754131584
sonnet5,Claude Sonnet 5,aita_yta:1172,1172,free,3p_softer,-0.7965416132185626
sonnet5,Claude Sonnet 5,aita_yta:1180,1180,free,3p_softer,0.1439822169828679
sonnet5,Claude Sonnet 5,aita_yta:1185,1185,free,same,0.250662671185837
sonnet5,Claude Sonnet 5,aita_yta:1195,1195,free,same,-1.2938840376082323
sonnet5,Claude Sonnet 5,aita_yta:1207,1207,free,same,0.3805130796101771
sonnet5,Claude Sonnet 5,aita_yta:1258,1258,free,3p_softer,-0.0769931207525779
sonnet5,Claude Sonnet 5,aita_yta:1261,1261,free,same,-1.1843776334477905
sonnet5,Claude Sonnet 5,aita_yta:1263,1263,free,3p_softer,-0.0761008241512034
sonnet5,Claude Sonnet 5,aita_yta:1264,1264,free,same,-0.1539334603411324
sonnet5,Claude Sonnet 5,aita_yta:1266,1266,free,same,0.2592090842850374
sonnet5,Claude Sonnet 5,aita_yta:1269,1269,free,same,-0.1980085158561607
sonnet5,Claude Sonnet 5,aita_yta:1270,1270,free,same,0.7714543334988975
sonnet5,Claude Sonnet 5,aita_yta:1272,1272,free,same,0.3427664103304841
sonnet5,Claude Sonnet 5,aita_yta:1284,1284,free,same,-0.7439364941914184
sonnet5,Claude Sonnet 5,aita_yta:1287,1287,free,same,0.4832428296161275
sonnet5,Claude Sonnet 5,aita_yta:1294,1294,free,same,0.2360391300636664
sonnet5,Claude Sonnet 5,aita_yta:1299,1299,free,same,-0.0876659576777297
sonnet5,Claude Sonnet 5,aita_yta:1314,1314,free,same,-0.7166830708628067
sonnet5,Claude Sonnet 5,aita_yta:1318,1318,free,same,-1.2318558393634054
sonnet5,Claude Sonnet 5,aita_yta:1319,1319,free,3p_softer,-0.7026042771833114
sonnet5,Claude Sonnet 5,aita_yta:1323,1323,free,same,-0.591386041762977
sonnet5,Claude Sonnet 5,aita_yta:1329,1329,free,same,-0.5396430567444085
sonnet5,Claude Sonnet 5,aita_yta:1352,1352,free,same,0.0167291638540752
sonnet5,Claude Sonnet 5,aita_yta:1363,1363,free,1p_softer,0.4258648616998405
sonnet5,Claude Sonnet 5,aita_yta:1377,1377,free,same,-0.2177757926074069
sonnet5,Claude Sonnet 5,aita_yta:1380,1380,free,same,0.5696024160361
sonnet5,Claude Sonnet 5,aita_yta:1382,1382,free,same,-0.6986535729862926
sonnet5,Claude Sonnet 5,aita_yta:1386,1386,free,same,0.7492725056306049
sonnet5,Claude Sonnet 5,aita_yta:1389,1389,free,same,0.1293586758606973
sonnet5,Claude Sonnet 5,aita_yta:1397,1397,free,1p_softer,0.3765623754131584
sonnet5,Claude Sonnet 5,aita_yta:1416,1416,free,same,-1.0528296062474984
sonnet5,Claude Sonnet 5,aita_yta:1440,1440,free,same,0.2261393680629947
sonnet5,Claude Sonnet 5,aita_yta:1463,1463,free,same,0.6005961207442485
sonnet5,Claude Sonnet 5,aita_yta:1467,1467,free,1p_softer,0.0068616491035007
sonnet5,Claude Sonnet 5,aita_yta:1480,1480,free,same,-0.3815747882213258
sonnet5,Claude Sonnet 5,aita_yta:1484,1484,free,same,-0.7995756619806471
sonnet5,Claude Sonnet 5,aita_yta:1485,1485,free,same,0.6005961207442485
sonnet5,Claude Sonnet 5,aita_yta:1504,1504,free,same,-0.1246863780967911
sonnet5,Claude Sonnet 5,aita_yta:1508,1508,free,same,0.0759314121414291
sonnet5,Claude Sonnet 5,aita_yta:1510,1510,free,1p_softer,-0.7400022605102325
sonnet5,Claude Sonnet 5,aita_yta:1512,1512,free,same,-0.9615780153412774
sonnet5,Claude Sonnet 5,aita_yta:1513,1513,free,same,0.0497988800761178
sonnet5,Claude Sonnet 5,aita_yta:1515,1515,free,same,-0.892306626508589
sonnet5,Claude Sonnet 5,aita_yta:1518,1518,free,same,0.3658895384880065
sonnet5,Claude Sonnet 5,aita_yta:1533,1533,free,same,0.3658895384880065
sonnet5,Claude Sonnet 5,aita_yta:1534,1534,free,same,0.156479334279087
sonnet5,Claude Sonnet 5,aita_yta:1545,1545,free,same,0.9030194221309202
sonnet5,Claude Sonnet 5,aita_yta:1553,1553,free,same,-0.7783003431976692
sonnet5,Claude Sonnet 5,aita_yta:1555,1555,free,3p_softer,0.5432181528279616
sonnet5,Claude Sonnet 5,aita_yta:1590,1590,free,same,-0.1721645840124063
sonnet5,Claude Sonnet 5,aita_yta:1598,1598,free,3p_softer,0.7379959723256355
sonnet5,Claude Sonnet 5,aita_yta:1604,1604,free,same,-0.713880810488281
sonnet5,Claude Sonnet 5,aita_yta:1609,1609,free,same,0.7796394152918864
sonnet5,Claude Sonnet 5,aita_yta:1612,1612,free,same,0.2680884726825334
sonnet5,Claude Sonnet 5,aita_yta:1614,1614,free,same,-0.0441384559591334
sonnet5,Claude Sonnet 5,aita_yta:1619,1619,free,same,0.1145302296595481
sonnet5,Claude Sonnet 5,aita_yta:1632,1632,free,same,0.4939156665412794
sonnet5,Claude Sonnet 5,aita_yta:1645,1645,free,same,-0.7169716710843635
sonnet5,Claude Sonnet 5,aita_yta:1654,1654,free,same,0.2884561665293785
sonnet5,Claude Sonnet 5,aita_yta:1655,1655,free,same,-0.707748012812387
sonnet5,Claude Sonnet 5,aita_yta:1658,1658,free,same,0.2777833296042267
sonnet5,Claude Sonnet 5,aita_yta:1672,1672,free,same,0.4094170402066028
sonnet5,Claude Sonnet 5,aita_yta:1710,1710,free,same,-0.7308221372820541
sonnet5,Claude Sonnet 5,aita_yta:1738,1738,free,same,-1.5343656044325604
sonnet5,Claude Sonnet 5,aita_yta:1761,1761,free,same,0.6005961207442485
sonnet5,Claude Sonnet 5,aita_yta:1773,1773,free,same,-0.3487201234278813
sonnet5,Claude Sonnet 5,aita_yta:1775,1775,free,same,-1.07561185121139
sonnet5,Claude Sonnet 5,aita_yta:1786,1786,free,same,-0.0806552247280397
sonnet5,Claude Sonnet 5,aita_yta:1788,1788,free,same,-0.5727538687589715
sonnet5,Claude Sonnet 5,aita_yta:1789,1789,free,same,-0.1599990333902809
sonnet5,Claude Sonnet 5,aita_yta:1794,1794,free,same,-1.0059518174274822
sonnet5,Claude Sonnet 5,aita_yta:1801,1801,free,same,0.398744203281451
sonnet5,Claude Sonnet 5,aita_yta:1816,1816,free,same,-0.1302187586770862
sonnet5,Claude Sonnet 5,aita_yta:1820,1820,free,1p_softer,0.687582502211088
sonnet5,Claude Sonnet 5,aita_yta:1839,1839,free,same,-0.5427014643400527
sonnet5,Claude Sonnet 5,aita_yta:1843,1843,free,same,0.1048353727378549
sonnet5,Claude Sonnet 5,aita_yta:1855,1855,free,same,-0.8784194805966696
sonnet5,Claude Sonnet 5,aita_yta:1861,1861,free,same,-1.0108805016279596
sonnet5,Claude Sonnet 5,aita_yta:1863,1863,free,1p_softer,0.1087827976506551
sonnet5,Claude Sonnet 5,aita_yta:1870,1870,free,same,-1.590734493321856
sonnet5,Claude Sonnet 5,aita_yta:1881,1881,free,same,-0.7530039651503467
sonnet5,Claude Sonnet 5,aita_yta:1910,1910,free,same,-0.8393404150894179
sonnet5,Claude Sonnet 5,aita_yta:1917,1917,free,same,-0.0829966999825895
sonnet5,Claude Sonnet 5,aita_yta:1932,1932,free,3p_softer,0.1050915199589733
sonnet5,Claude Sonnet 5,aita_yta:1933,1933,free,same,-0.2986123149666215
sonnet5,Claude Sonnet 5,aita_yta:1939,1939,free,same,0.4568266241518647
sonnet5,Claude Sonnet 5,aita_yta:1945,1945,free,3p_softer,-1.175927050100294
sonnet5,Claude Sonnet 5,aita_yta:1946,1946,free,same,-0.5694068609417703
sonnet5,Claude Sonnet 5,aita_yta:1951,1951,free,same,0.2360391300636664
sonnet5,Claude Sonnet 5,aita_yta:1966,1966,free,3p_softer,-1.3318390872007555
sonnet5,Claude Sonnet 5,aita_yta:1968,1968,free,same,-0.1916708131012882
sonnet5,Claude Sonnet 5,aita_yta:1970,1970,free,same,-1.0880380651184192
sonnet5,Claude Sonnet 5,aita_yta:1973,1973,free,same,0.0741071317703621
sonnet5,Claude Sonnet 5,aita_yta:1975,1975,free,same,0.3106379943976711
sonnet5,Claude Sonnet 5,aita_yta:1977,1977,free,same,0.1020331123633292
sonnet5,Claude Sonnet 5,aita_yta:1978,1978,free,same,-0.8129484565187695
sonnet5,Claude Sonnet 5,aita_yta:1981,1981,free,same,0.0127784596570564
sonnet5,Claude Sonnet 5,aita_yta:1982,1982,free,same,-1.2707140833868615
sonnet5,Claude Sonnet 5,aita_yta:2019,2019,free,same,-0.4186821830671842
sonnet5,Claude Sonnet 5,aita_yta:2026,2026,free,same,0.0448600495260208
sonnet5,Claude Sonnet 5,aita_yta:2056,2056,free,same,-0.2642214970932048
sonnet5,Claude Sonnet 5,aita_yta:2067,2067,free,same,-0.0006966376426211
sonnet5,Claude Sonnet 5,aita_yta:2078,2078,free,same,-0.5379454379684564
sonnet5,Claude Sonnet 5,aita_yta:2081,2081,free,same,-0.4366247065169012
sonnet5,Claude Sonnet 5,aita_yta:2104,2104,free,same,-0.0396385768086556
sonnet5,Claude Sonnet 5,aita_yta:2110,2110,free,same,-0.3940719055175448
sonnet5,Claude Sonnet 5,aita_yta:2126,2126,free,same,0.273832625407208
sonnet5,Claude Sonnet 5,aita_yta:2129,2129,free,same,0.1786611621473796
sonnet5,Claude Sonnet 5,aita_yta:2130,2130,free,same,0.1893339990725314
sonnet5,Claude Sonnet 5,aita_yta:2131,2131,free,same,-1.6826648333605412
sonnet5,Claude Sonnet 5,aita_yta:2144,2144,free,same,-0.5229903301721922
sonnet5,Claude Sonnet 5,aita_yta:2161,2161,free,3p_softer,0.1850126470497642
sonnet5,Claude Sonnet 5,aita_yta:2171,2171,free,same,0.6005961207442485
sonnet5,Claude Sonnet 5,aita_yta:2172,2172,free,same,-0.8054210016160588
sonnet5,Claude Sonnet 5,aita_yta:2181,2181,free,same,-0.2119872648059935
sonnet5,Claude Sonnet 5,aita_yta:2189,2189,free,same,0.7239761275832823
sonnet5,Claude Sonnet 5,aita_yta:2198,2198,free,same,-0.1918757181802668
sonnet5,Claude Sonnet 5,aita_yta:2203,2203,free,same,0.4415993866498765
sonnet5,Claude Sonnet 5,aita_yta:2222,2222,free,same,0.1291537707817187
